Indicator,Indicator Name,Company,Year,Value,Units,Remarks,Validated,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2023,9200000,tonnes,CO2,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2022,10300000,tonnes,CO2,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2021,10100000,tonnes,CO2,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2020,10300000,tonnes,CO2,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2019,10300000,tonnes,CO2,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2024,76,%,NA,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2023,79,%,NA,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2023,"35,951",tonnes,SOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2022,"41,442",tonnes,SOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2021,"39,568",tonnes,SOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2020,"40,755",tonnes,SOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2019,"41,625",tonnes,SOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2023,"9,645",tonnes,NOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2022,"10,603",tonnes,NOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2021,"9,687",tonnes,NOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2020,"10,078",tonnes,NOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2019,"12,156",tonnes,NOx,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2023,0.8,tonnes,Hg,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2022,0.9,tonnes,Hg,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2021,0.7,tonnes,Hg,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2020,0.9,tonnes,Hg,Manual,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ",South32,2019,0.6,tonnes,Hg,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,44,PJ,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,50,PJ,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,52,PJ,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,53,PJ,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,51,PJ,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,6,PJ,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,6,PJ,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,5,PJ,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,7,PJ,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,8,PJ,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,70,PJ,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,73,PJ,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,73,PJ,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,75,PJ,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,78,PJ,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,36,PJ,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,31,PJ,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,31,PJ,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,29,PJ,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,27,PJ,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,0,PJ,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,1,PJ,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,1,PJ,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,1,PJ,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,8,PJ,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,156,PJ,Total,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,160,PJ,Total,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,162,PJ,Total,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,165,PJ,Total,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,172,PJ,Total,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,30,PJ,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,33,PJ,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,33,PJ,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,33,PJ,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,33,PJ,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,28,%,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,31,%,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,32,%,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,32,%,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,30,%,Coal and coke,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,4,%,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,4,%,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,3,%,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,4,%,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,5,%,Distillate and gasoline,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,45,%,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,45,%,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,45,%,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,45,%,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,45,%,Electricity,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,23,%,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,19,%,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,19,%,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,18,%,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,16,%,Natural gas,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,0,%,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,0,%,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,0,%,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,0,%,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2019,5,%,Others,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2023,19,%,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2022,21,%,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2021,20,%,Total Renewable,Manual,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",South32,2020,20,%,Total Renewable,Manual,,,,
