Indicator,EM-MM-000.A,EM-MM-000.A,EM-MM-000.A,EM-MM-000.B,EM-MM-000.B,EM-MM-000.B,EM-MM-000.B,EM-MM-000.B,EM-MM-000.B,EM-MM-000.B,EM-MM-000.B,EM-MM-110a.1,EM-MM-110a.1,EM-MM-110a.1,EM-MM-110a.1,EM-MM-110a.1,EM-MM-110a.1,EM-MM-110a.1,EM-MM-110a.1,EM-MM-120a.1,EM-MM-120a.1,EM-MM-120a.1,EM-MM-120a.1,EM-MM-120a.1,EM-MM-120a.1,EM-MM-120a.1,EM-MM-120a.1,EM-MM-130a.1,EM-MM-130a.1,EM-MM-130a.1,EM-MM-130a.1,EM-MM-130a.1,EM-MM-130a.1,EM-MM-130a.1,EM-MM-130a.1,EM-MM-140a.1,EM-MM-140a.1,EM-MM-140a.1,EM-MM-140a.1,EM-MM-140a.1,EM-MM-140a.1,EM-MM-140a.1,EM-MM-140a.1,EM-MM-140a.2,EM-MM-140a.2,EM-MM-140a.2,EM-MM-140a.2,EM-MM-140a.2,EM-MM-140a.2,EM-MM-140a.2,EM-MM-140a.2,EM-MM-140a.3,EM-MM-140a.4,EM-MM-150a.1,EM-MM-150a.1,EM-MM-150a.1,EM-MM-150a.1,EM-MM-150a.1,EM-MM-150a.1,EM-MM-150a.1,EM-MM-150a.2,EM-MM-150a.2,EM-MM-150a.2,EM-MM-150a.2,EM-MM-150a.2,EM-MM-150a.2,EM-MM-150a.2,EM-MM-150a.2,EM-MM-150a.3,EM-MM-150a.3,EM-MM-150a.3,EM-MM-150a.3,EM-MM-150a.3,EM-MM-160a.2,EM-MM-160a.2,EM-MM-160a.2,EM-MM-160a.2,EM-MM-160a.3,EM-MM-160a.3,EM-MM-160a.3,EM-MM-160a.3,EM-MM-160a.3,EM-MM-210a.1,EM-MM-210a.1,EM-MM-210a.1,EM-MM-210a.1,EM-MM-210a.2,EM-MM-210a.2,EM-MM-210a.2,EM-MM-210a.2,EM-MM-210b.2,EM-MM-210b.2,EM-MM-210b.2,EM-MM-210b.2,EM-MM-210b.2,EM-MM-210b.2,EM-MM-210b.2,EM-MM-310a.1,EM-MM-310a.1,EM-MM-310a.1,EM-MM-310a.1,EM-MM-310a.1,EM-MM-310a.1,EM-MM-310a.2,EM-MM-310a.2,EM-MM-310a.2,EM-MM-310a.2,EM-MM-310a.2,EM-MM-310a.2,EM-MM-310a.2,EM-MM-310a.2,EM-MM-320a.1,EM-MM-320a.1,EM-MM-320a.1,EM-MM-320a.1,EM-MM-320a.1,EM-MM-320a.1,EM-MM-320a.1,EM-MM-320a.1,EM-MM-510a.2,EM-MM-510a.2,EM-MM-510a.2,EM-MM-510a.2,EM-MM-510a.2,EM-MM-510a.2,EM-MM-510a.2
Year,2021.0,2022.0,2023.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2023.0,2022.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2019.0,2020.0,2021.0,2022.0,2023.0,2020.0,2021.0,2022.0,2023.0,2019.0,2020.0,2021.0,2022.0,2023.0,2020.0,2021.0,2022.0,2023.0,2020.0,2021.0,2022.0,2023.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albemarle,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,2,2,2,0,0,0,0,0,8,8,8,0,0,0,0,0,5,5,5,0,0,0,0,0,6,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,2,2,2,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0
Anglo Gold Ashanti,0,0,0,0,0,2,2,2,2,3,0,0,0,1,1,1,1,1,0,0,0,3,3,3,3,3,0,0,0,2,2,3,3,3,0,0,0,3,3,3,3,4,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0
Cameco,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,5,5,5,0,0,0,0,0,3,3,3,0,0,0,0,0,5,5,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,3,3,0,0,0,0,2,2,2,0,0,0,0,0,1,0,6,6,6,0,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,2,2,2,0,0,0,3,3,3,0,0,0,0,2,2,2,0,0,0,0,0,4,4,4,0,0,0,0,0,1,1,1,0
Champion Iron,0,0,0,0,0,3,3,3,3,0,0,0,0,1,1,1,1,0,0,0,0,4,5,5,5,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,3,3,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,1,1,1,0,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,0
Fortuna Silver Mines,0,0,0,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,0,5,5,5,5,5,5,6,0,3,3,3,3,3,3,3,0,5,5,5,5,5,5,5,0,1,1,1,1,1,1,1,0,0,0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,4,0,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,0,8,8,8,8,8,8,8,0,1,1,1,1,1,1,1
Freeport-McMoRan,0,0,0,0,0,3,3,3,3,3,0,0,0,2,2,2,2,2,0,0,0,7,7,7,7,7,0,0,0,2,2,2,2,23,0,0,0,3,3,3,3,6,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0
Mosaic,0,0,0,0,0,2,2,2,2,2,0,0,0,1,1,1,1,1,0,0,0,4,4,4,4,4,0,0,0,1,1,1,1,1,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Norilsk Nickels,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,2,2,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0
