,category,indicator,indicator_name,unit,sub_category,year,value,company name
71,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",incidents,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2018,0.0,Agnico Eagle
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tonnes CO2E,Total gross global scope 1 emissions (CO2),2019,753716,Agnico Eagle
115,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2019,19437758,Agnico Eagle
118,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water withdrawn,2019,9416557,Agnico Eagle
119,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water consumed,2019,8043762,Agnico Eagle
124,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",incidents,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2019,0,Agnico Eagle
128,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2019,6027,Agnico Eagle
143,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,count,Number of strikes and lockouts,2019,0,Agnico Eagle
144,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,days,Duration of strikes and lockouts,2019,0,Agnico Eagle
147,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2019,0,Agnico Eagle
153,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Tonnes,Production of metal ores,2019,19565207,Agnico Eagle
155,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2019,"12,266",Agnico Eagle
156,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2019,"2,922",Agnico Eagle
157,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2019,24,Agnico Eagle
159,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tonnes CO2E,Total gross global scope 1 emissions (CO2),2020,764965,Agnico Eagle
168,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2020,44941088,Agnico Eagle
171,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",m³,Total water withdrawn,2020,9629173,Agnico Eagle
