,category,indicator,indicator_name,unit,sub_category,year,value,company name
53,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",thousand metric tonnes,Total gross global scope 1 emissions (CO2),2018,960000.0,Albemarle
56,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2018,639.0,Albemarle
57,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total SOx emissions,2018,3056.0,Albemarle
66,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Cubic meters (m³),Total water consumed,2018,12.1,Albemarle
75,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,kTonnes,Total weight of hazardous waste generated,2018,20.0,Albemarle
93,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total MSHA all-incidents rate,2018,0.55,Albemarle
94,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2018,0.0,Albemarle
95,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total fatality rate,2018,0.0,Albemarle
102,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2018,5602.0,Albemarle
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",thousand metric tonnes,Total gross global scope 1 emissions (CO2),2019,965000.0,Albemarle
107,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",%,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2019,11.0,Albemarle
109,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2019,710000.0,Albemarle
110,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total SOx emissions,2019,1458.0,Albemarle
114,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total volatile organic compounds (VOCs) emissions,2019,847.0,Albemarle
115,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Gigajoules (GJ),Total energy consumed,2019,14.1,Albemarle
116,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2019,22.0,Albemarle
117,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2019,2.0,Albemarle
118,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Cubic meters (m³),Total water withdrawn,2019,25.5,Albemarle
119,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Cubic meters (m³),Total water consumed,2019,12.9,Albemarle
123,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,2019,20.4,Albemarle
124,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Count,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2019,0.0,Albemarle
128,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,kTonnes,Total weight of hazardous waste generated,2019,21.0,Albemarle
129,Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,kTonnes,Total weight of hazardous waste recycled,2019,1.89,Albemarle
142,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2019,33.0,Albemarle
143,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Count,Number of strikes and lockouts,2019,0.0,Albemarle
144,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Days,Duration of strikes and lockouts,2019,0.0,Albemarle
145,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Total number of MSHA incidents,2019,22.0,Albemarle
146,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total MSHA all-incidents rate,2019,0.36,Albemarle
147,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2019,0.0,Albemarle
148,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total fatality rate,2019,0.0,Albemarle
152,Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Tonnes,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,2019,0.0,Albemarle
155,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2019,6723.0,Albemarle
156,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2019,1258.0,Albemarle
157,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2019,18.7,Albemarle
