,category,indicator,indicator_name,unit,sub_category,year,value,company name
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Kilotonnes,Total gross global scope 1 emissions (CO2),2019,"1,133",AngloGold Ashanti
109,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2019,4862,AngloGold Ashanti
110,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total SOx emissions,2019,143,AngloGold Ashanti
115,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Petajoules,Total energy consumed,2019,20.69,AngloGold Ashanti
118,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",ML,Total water withdrawn,2019,27871,AngloGold Ashanti
124,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Count,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2019,3,AngloGold Ashanti
125,Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,Tonnes,Total weight of non-mineral waste generated,2019,"82,017",AngloGold Ashanti
126,Waste Management,EM-MM-150a.5,Total weight of tailings produced,Megatonnes,Total weight of tailings produced,2019,40.87,AngloGold Ashanti
128,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,Tonnes,Total weight of hazardous waste generated,2019,"26,866",AngloGold Ashanti
129,Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,Tonnes,Total weight of hazardous waste recycled,2019,"2,156",AngloGold Ashanti
143,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Count,Number of strikes and lockouts,2019,0,AngloGold Ashanti
144,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Days,Duration of strikes and lockouts,2019,0,AngloGold Ashanti
145,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Total number of MSHA incidents,2019,283,AngloGold Ashanti
146,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total MSHA all-incidents rate,2019,3.31,AngloGold Ashanti
147,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2019,0,AngloGold Ashanti
148,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total fatality rate,2019,0,AngloGold Ashanti
149,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total near-miss frequency rate (NMFR),2019,0.84,AngloGold Ashanti
155,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2019,34263,AngloGold Ashanti
156,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2019,14389,AngloGold Ashanti
157,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2019,42,AngloGold Ashanti
159,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Kilotonnes,Total gross global scope 1 emissions (CO2),2020,"1,123",AngloGold Ashanti
162,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2020,5118,AngloGold Ashanti
