,category,indicator,indicator_name,unit,sub_category,year,value,company name
159,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",MtCO2-e,Total gross global scope 1 emissions (CO2),2020,9.6,BHP
160,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",percent,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2020,81,BHP
168,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2020,0,BHP
169,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2020,88,BHP
170,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2020,0,BHP
171,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Megalitres,Total water withdrawn,2020,"331,990",BHP
199,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",per million hours worked,Total MSHA all-incidents rate,2020,4.3,BHP
208,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2020,31589,BHP
209,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2020,48532,BHP
212,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",MtCO2-e,Total gross global scope 1 emissions (CO2),2021,10.1,BHP
213,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",percent,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2021,81,BHP
221,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2021,1,BHP
222,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2021,89,BHP
223,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2021,1,BHP
224,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Megalitres,Total water withdrawn,2021,"357,310",BHP
248,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2021,51,BHP
252,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",per million hours worked,Total MSHA all-incidents rate,2021,3.8,BHP
261,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2021,34478,BHP
262,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2021,41912,BHP
264,Revenue,Revenue,,USD,Revenue,2021,56921000000,BHP
265,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",MtCO2-e,Total gross global scope 1 emissions (CO2),2022,9.1,BHP
266,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",percent,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2022,78,BHP
274,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2022,17,BHP
275,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2022,89,BHP
276,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2022,46,BHP
277,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Megalitres,Total water withdrawn,2022,"402,600",BHP
301,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2022,50.9,BHP
305,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",per million hours worked,Total MSHA all-incidents rate,2022,4.1,BHP
314,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2022,39210,BHP
315,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2022,40261,BHP
317,Revenue,Revenue,,USD,Revenue,2022,65098000000,BHP
318,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",MtCO2-e,Total gross global scope 1 emissions (CO2),2023,8,BHP
