,category,indicator,indicator_name,unit,sub_category,year,value,company name
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2019,"64,769",Champion Iron
118,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Cubic meters (m³),Total water withdrawn,2019,82,Champion Iron
124,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Count,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2019,0,Champion Iron
126,Waste Management,EM-MM-150a.5,Total weight of tailings produced,Tonnes,Total weight of tailings produced,2019,12600000,Champion Iron
142,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2019,63,Champion Iron
143,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Count,Number of strikes and lockouts,2019,0,Champion Iron
147,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2019,0,Champion Iron
148,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total fatality rate,2019,0,Champion Iron
150,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Hours,"Average hours of health, safety, and emergency response training for full-time employees",2019,5,Champion Iron
155,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2019,532,Champion Iron
156,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2019,32,Champion Iron
157,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2019,6.4,Champion Iron
159,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2020,"55,500",Champion Iron
160,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",%,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2020,15,Champion Iron
161,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total CO emissions,2020,51.7,Champion Iron
162,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2020,76.5,Champion Iron
163,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total SOx emissions,2020,6.3,Champion Iron
164,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total PM10 emissions,2020,556.3,Champion Iron
165,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total mercury (Hg) emissions,2020,0.0000227,Champion Iron
166,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total lead (Pb) emissions,2020,0.00567,Champion Iron
167,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total volatile organic compounds (VOCs) emissions,2020,5.4,Champion Iron
168,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Gigajoules (GJ),Total energy consumed,2020,"1,942,000",Champion Iron
169,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2020,64,Champion Iron
170,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2020,64,Champion Iron
171,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Cubic meters (m³),Total water withdrawn,2020,207,Champion Iron
177,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Count,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2020,0,Champion Iron
179,Waste Management,EM-MM-150a.5,Total weight of tailings produced,Tonnes,Total weight of tailings produced,2020,12200000,Champion Iron
184,Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",%,Percentage of total mine sites where acid rock drainage is predicted to occur,2020,0,Champion Iron
187,Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,%,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,2020,100,Champion Iron
188,Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,%,Percentage of total area of probable reserves in or near sites with protected conservation status or endangered species habitat,2020,100,Champion Iron
