,category,indicator,indicator_name,unit,sub_category,year,value,company name
0,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2017,"21,900",Fortuna Silver Mines
1,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",%,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2017,0,Fortuna Silver Mines
3,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total NOx emissions,2017,9.03,Fortuna Silver Mines
4,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total SOx emissions,2017,13.72,Fortuna Silver Mines
5,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total PM10 emissions,2017,25.25,Fortuna Silver Mines
8,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total volatile organic compounds (VOCs) emissions,2017,0.02,Fortuna Silver Mines
9,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Gigajoules (GJ),Total energy consumed,2017,"663,566",Fortuna Silver Mines
10,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2017,59,Fortuna Silver Mines
11,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2017,4,Fortuna Silver Mines
12,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Thousand cubic meters,Total water withdrawn,2017,"1,405",Fortuna Silver Mines
13,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Thousand cubic meters,Total water consumed,2017,"1,351",Fortuna Silver Mines
16,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,2017,0,Fortuna Silver Mines
17,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,2017,0,Fortuna Silver Mines
20,Waste Management,EM-MM-150a.5,Total weight of tailings produced,Tonnes,Total weight of tailings produced,2017,"1,511,195",Fortuna Silver Mines
21,Waste Management,EM-MM-150a.6,Total weight of waste rock generated,Tonnes,Total weight of waste rock generated,2017,"244,780",Fortuna Silver Mines
22,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,Tonnes,Total weight of hazardous waste generated,2017,330,Fortuna Silver Mines
24,Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Count,Number of significant incidents associated with hazardous materials and waste management,2017,0,Fortuna Silver Mines
34,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Count,Number of non-technical delays,2017,0,Fortuna Silver Mines
35,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Days,Duration of non-technical delays,2017,0,Fortuna Silver Mines
44,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Hours,"Average hours of health, safety, and emergency response training for full-time employees",2017,28.08,Fortuna Silver Mines
45,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Hours,"Average hours of health, safety, and emergency response training for contract employees",2017,1.62,Fortuna Silver Mines
49,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2017,787,Fortuna Silver Mines
50,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2017,"1,309",Fortuna Silver Mines
51,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2017,61.55349292,Fortuna Silver Mines
53,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2018,"21,287",Fortuna Silver Mines
54,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",%,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2018,0,Fortuna Silver Mines
56,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total NOx emissions,2018,8.02,Fortuna Silver Mines
57,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total SOx emissions,2018,13.72,Fortuna Silver Mines
58,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total PM10 emissions,2018,30.33,Fortuna Silver Mines
61,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total volatile organic compounds (VOCs) emissions,2018,0.02,Fortuna Silver Mines
62,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Gigajoules (GJ),Total energy consumed,2018,"663,199",Fortuna Silver Mines
63,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2018,61,Fortuna Silver Mines
64,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2018,8,Fortuna Silver Mines
65,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Thousand cubic meters,Total water withdrawn,2018,"1,244",Fortuna Silver Mines
66,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Thousand cubic meters,Total water consumed,2018,899,Fortuna Silver Mines
69,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,2018,0,Fortuna Silver Mines
70,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,2018,0,Fortuna Silver Mines
73,Waste Management,EM-MM-150a.5,Total weight of tailings produced,Tonnes,Total weight of tailings produced,2018,"1,485,985",Fortuna Silver Mines
74,Waste Management,EM-MM-150a.6,Total weight of waste rock generated,Tonnes,Total weight of waste rock generated,2018,"247,357",Fortuna Silver Mines
75,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,Tonnes,Total weight of hazardous waste generated,2018,345,Fortuna Silver Mines
77,Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Count,Number of significant incidents associated with hazardous materials and waste management,2018,0,Fortuna Silver Mines
87,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Count,Number of non-technical delays,2018,0,Fortuna Silver Mines
88,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Days,Duration of non-technical delays,2018,0,Fortuna Silver Mines
97,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Hours,"Average hours of health, safety, and emergency response training for full-time employees",2018,23.74,Fortuna Silver Mines
98,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Hours,"Average hours of health, safety, and emergency response training for contract employees",2018,1.68,Fortuna Silver Mines
102,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2018,809,Fortuna Silver Mines
103,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2018,"2,623",Fortuna Silver Mines
104,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2018,65.36815068,Fortuna Silver Mines
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2019,"17,494",Fortuna Silver Mines
107,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",%,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2019,0,Fortuna Silver Mines
109,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total NOx emissions,2019,4,Fortuna Silver Mines
110,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total SOx emissions,2019,13.72,Fortuna Silver Mines
111,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",ug/m3,Total PM10 emissions,2019,32.44,Fortuna Silver Mines
