,category,indicator,indicator_name,unit,sub_category,year,value,company name
211,Revenue,Revenue,,USD,Revenue,2020,1241700000,IAMGOLD
212,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tCO2e,Total gross global scope 1 emissions (CO2),2021,648089,IAMGOLD
214,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",tCO2e,Total CO emissions,2021,648678,IAMGOLD
216,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",metric tonnes,Total SOx emissions,2021,2510.595,IAMGOLD
217,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",metric tonnes,Total PM10 emissions,2021,53.962,IAMGOLD
220,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",kg,Total volatile organic compounds (VOCs) emissions,2021,0.132,IAMGOLD
221,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",GJ,Total energy consumed,2021,10181467,IAMGOLD
222,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2021,12.36352286,IAMGOLD
223,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2021,0.001052599,IAMGOLD
224,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",megalitres,Total water withdrawn,2021,40966,IAMGOLD
225,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",megalitres,Total water consumed,2021,34518,IAMGOLD
253,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",number,Number of Fatalities,2021,0,IAMGOLD
259,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,oz,Production of metal ores,2021,680000,IAMGOLD
260,Production,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,oz,Production of finished metal products,2021,680000,IAMGOLD
262,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of contractors,2021,1151,IAMGOLD
264,Revenue,Revenue,,USD,Revenue,2021,875500000,IAMGOLD
265,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",tCO2e,Total gross global scope 1 emissions (CO2),2022,638412,IAMGOLD
267,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",tCO2e,Total CO emissions,2022,639033,IAMGOLD
268,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2022,4083000,IAMGOLD
269,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",metric tonnes,Total SOx emissions,2022,1996.868,IAMGOLD
