,category,indicator,indicator_name,unit,sub_category,year,value,company name
3,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",kTonnes,Total NOx emissions,2017,11.0,Norilsk Nickels
11,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2017,38.0,Norilsk Nickels
12,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million Cubic meters (m³),Total water withdrawn,2017,335.64,Norilsk Nickels
13,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million Cubic meters (m³),Total water consumed,2017,1342.1,Norilsk Nickels
39,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Total number of MSHA incidents,2017,61.0,Norilsk Nickels
41,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2017,9.0,Norilsk Nickels
46,Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Tonnes,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,2017,0.0,Norilsk Nickels
53,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",mTonnes,Total gross global scope 1 emissions (CO2),2018,9.6,Norilsk Nickels
56,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",kTonnes,Total NOx emissions,2018,11.0,Norilsk Nickels
57,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",kTonnes,Total SOx emissions,2018,1869.6,Norilsk Nickels
62,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Terajoules (TJ),Total energy consumed,2018,148910.0,Norilsk Nickels
64,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2018,44.0,Norilsk Nickels
65,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million Cubic meters (m³),Total water withdrawn,2018,356.79,Norilsk Nickels
66,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million Cubic meters (m³),Total water consumed,2018,1412.1,Norilsk Nickels
87,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Count,Number of non-technical delays,2018,0.0,Norilsk Nickels
88,Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Days,Duration of non-technical delays,2018,0.0,Norilsk Nickels
89,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2018,81.0,Norilsk Nickels
90,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Count,Number of strikes and lockouts,2018,0.0,Norilsk Nickels
91,Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Days,Duration of strikes and lockouts,2018,0.0,Norilsk Nickels
92,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Total number of MSHA incidents,2018,32.0,Norilsk Nickels
94,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2018,6.0,Norilsk Nickels
99,Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Tonnes,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,2018,0.0,Norilsk Nickels
102,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of employees,2018,74960.0,Norilsk Nickels
103,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count,Total number of contractors,2018,541.0,Norilsk Nickels
