,category,indicator,indicator_name,unit,sub_category,year,value,company name
53,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Million Tonnes,Total gross global scope 1 emissions (CO2),2018,11.19,Nutrien
55,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Thousand Tonnes,Total CO emissions,2018,8.0,Nutrien
56,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Thousand Tonnes,Total NOx emissions,2018,8.8,Nutrien
57,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Thousand Tonnes,Total SOx emissions,2018,6.9,Nutrien
58,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Thousand Tonnes,Total PM10 emissions,2018,8.3,Nutrien
61,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Thousand Tonnes,Total volatile organic compounds (VOCs) emissions,2018,1.6,Nutrien
62,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Petajoules (PJ),Total energy consumed,2018,290.7,Nutrien
65,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Million Cubic meters (m³),Total water withdrawn,2018,174.0,Nutrien
67,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Million Cubic meters (m³),Total water withdrawn in high or extremely high baseline water stress areas,2018,3.8,Nutrien
69,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",%,Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,2018,1.8,Nutrien
72,Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,Thousand Tonnes,Total weight of non-mineral waste generated,2018,90.0,Nutrien
75,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,Thousand Tonnes,Total weight of hazardous waste generated,2018,5.0,Nutrien
94,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2018,0.0,Nutrien
95,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate (per million hours worked),Total fatality rate,2018,0.0,Nutrien
99,Business Ethics and Transparency,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Tonnes,Production in countries with the 20 lowest rankings in Transparency International's Corruption Perception Index,2018,0.0,Nutrien
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Million Tonnes,Total gross global scope 1 emissions (CO2),2019,10.4,Nutrien
107,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",%,Total percentage of gross global scope 1 emissions under emissions-limiting regulations,2019,27.0,Nutrien
108,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Thousand Tonnes,Total CO emissions,2019,8.6,Nutrien
