,category,indicator,indicator_name,unit,sub_category,year,value,company name
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Mt CO2e,Total gross global scope 1 emissions (CO2),2019,23.1,Rio Tinto
109,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total NOx emissions,2019,63.4,Rio Tinto
110,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total SOx emissions,2019,76.8,Rio Tinto
111,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total PM10 emissions,2019,130.7,Rio Tinto
115,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2019,408.0,Rio Tinto
116,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2019,38.23529412,Rio Tinto
118,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",GL,Total water withdrawn,2019,448.0,Rio Tinto
119,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",GL,Total water consumed,2019,657.0,Rio Tinto
125,Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,000 tonnes,Total weight of non-mineral waste generated,2019,660.0,Rio Tinto
128,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2019,194.0,Rio Tinto
129,Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,tonnes,Total weight of hazardous waste recycled,2019,122.3,Rio Tinto
130,Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Count,Number of significant incidents associated with hazardous materials and waste management,2019,0.0,Rio Tinto
147,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2019,0.0,Rio Tinto
148,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate,Total fatality rate,2019,0.0,Rio Tinto
155,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2019,46000.0,Rio Tinto
159,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Mt CO2e,Total gross global scope 1 emissions (CO2),2020,23.0,Rio Tinto
162,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total NOx emissions,2020,65.2,Rio Tinto
163,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total SOx emissions,2020,75.7,Rio Tinto
164,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total PM10 emissions,2020,143.2,Rio Tinto
168,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2020,404.0,Rio Tinto
169,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2020,37.87128713,Rio Tinto
171,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",GL,Total water withdrawn,2020,360.0,Rio Tinto
172,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",GL,Total water consumed,2020,537.0,Rio Tinto
178,Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,000 tonnes,Total weight of non-mineral waste generated,2020,851.0,Rio Tinto
181,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2020,268.0,Rio Tinto
182,Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,tonnes,Total weight of hazardous waste recycled,2020,196.2,Rio Tinto
183,Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Count,Number of significant incidents associated with hazardous materials and waste management,2020,0.0,Rio Tinto
200,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2020,0.0,Rio Tinto
201,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate,Total fatality rate,2020,0.0,Rio Tinto
208,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",number,Total number of employees,2020,47500.0,Rio Tinto
211,Revenue,Revenue,,USD,Revenue,2020,44611000000.0,Rio Tinto
212,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Mt CO2e,Total gross global scope 1 emissions (CO2),2021,22.9,Rio Tinto
215,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total NOx emissions,2021,62.3,Rio Tinto
216,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total SOx emissions,2021,70.2,Rio Tinto
217,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",000 tonnes,Total PM10 emissions,2021,142.3,Rio Tinto
221,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",PJ,Total energy consumed,2021,394.0,Rio Tinto
222,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2021,37.56345178,Rio Tinto
224,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",GL,Total water withdrawn,2021,426.0,Rio Tinto
225,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",GL,Total water consumed,2021,602.0,Rio Tinto
231,Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,000 tonnes,Total weight of non-mineral waste generated,2021,981.0,Rio Tinto
234,Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,tonnes,Total weight of hazardous waste generated,2021,166.0,Rio Tinto
