,category,indicator,indicator_name,unit,sub_category,year,value,company name
53,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2018,10300000.0,South32
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2019,10300000.0,South32
159,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Tonnes,Total gross global scope 1 emissions (CO2),2020,10100000,South32
162,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total NOx emissions,2020,"12,156",South32
163,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total SOx emissions,2020,"41,625",South32
165,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Tonnes,Total mercury (Hg) emissions,2020,0.6,South32
168,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Petajoules,Total energy consumed,2020,172,South32
169,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2020,46,South32
170,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2020,19,South32
200,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Count,Number of Fatalities,2020,1,South32
