,category,indicator,indicator_name,unit,sub_category,year,value,company name
106,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",millions of tCO2e,Total gross global scope 1 emissions (CO2),2019,9.7,Vale
108,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",million tCO2e,Total CO emissions,2019,8.4,Vale
109,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total NOx emissions,2019,40.3,Vale
110,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total SOx emissions,2019,86.3,Vale
111,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total PM10 emissions,2019,9.0,Vale
115,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",thousand TJ,Total energy consumed,2019,164.0,Vale
116,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2019,29.7,Vale
117,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2019,29.7,Vale
126,Waste Management,EM-MM-150a.5,Total weight of tailings produced,million metric tons,Total weight of tailings produced,2019,55.2,Vale
137,Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,%,Percentage of total area of probable reserves in or near areas of conflict,2019,0.0,Vale
142,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2019,96.0,Vale
148,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate,Total fatality rate,2019,0.011,Vale
159,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",millions of tCO2e,Total gross global scope 1 emissions (CO2),2020,8.4,Vale
161,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",million tCO2e,Total CO emissions,2020,8.7,Vale
162,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total NOx emissions,2020,47.2,Vale
163,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total SOx emissions,2020,99.1,Vale
164,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total PM10 emissions,2020,9.1,Vale
168,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",thousand TJ,Total energy consumed,2020,143.0,Vale
169,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2020,30.8,Vale
170,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2020,30.8,Vale
171,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water withdrawn,2020,118.8,Vale
172,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water consumed,2020,81.8,Vale
173,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water withdrawn in high or extremely high baseline water stress areas,2020,2.0,Vale
174,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water consumed in high or extremely high baseline water stress areas,2020,1.9,Vale
177,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",incidents,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2020,11.0,Vale
179,Waste Management,EM-MM-150a.5,Total weight of tailings produced,million metric tons,Total weight of tailings produced,2020,45.4,Vale
182,Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,thousand metric tons,Total weight of hazardous waste recycled,2020,21.3,Vale
187,Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,%,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,2020,10.39,Vale
190,Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,%,Percentage of total area of probable reserves in or near areas of conflict,2020,0.0,Vale
195,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2020,95.9,Vale
201,Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Rate,Total fatality rate,2020,0.77,Vale
208,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count ,Total number of employees,2020,111921.0,Vale
209,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",Count ,Total number of contractors,2020,111921.0,Vale
210,Employees,EM-MM-000.B,"Total number of employees, percentage contractors",%,Percentage of employees who are contractors,2020,9.3,Vale
211,Revenue,Revenue,,USD,Revenue,2020,39545000000.0,Vale
212,GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",millions of tCO2e,Total gross global scope 1 emissions (CO2),2021,8.7,Vale
214,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",million tCO2e,Total CO emissions,2021,8.6,Vale
215,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total NOx emissions,2021,48.8,Vale
216,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total SOx emissions,2021,77.5,Vale
217,Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",thousand metric tons,Total PM10 emissions,2021,4.8,Vale
221,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",thousand TJ,Total energy consumed,2021,146.0,Vale
222,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from grid electricity,2021,30.7,Vale
223,Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",%,Percentage energy consumed from renewable electricity,2021,30.7,Vale
224,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water withdrawn,2021,145.0,Vale
225,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water consumed,2021,81.5,Vale
226,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water withdrawn in high or extremely high baseline water stress areas,2021,2.0,Vale
227,Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",million m³,Total water consumed in high or extremely high baseline water stress areas,2021,2.0,Vale
230,Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",incidents,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",2021,14.0,Vale
232,Waste Management,EM-MM-150a.5,Total weight of tailings produced,million metric tons,Total weight of tailings produced,2021,47.2,Vale
236,Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Count,Number of significant incidents associated with hazardous materials and waste management,2021,4.0,Vale
240,Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,%,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,2021,10.34,Vale
243,Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,%,Percentage of total area of probable reserves in or near areas of conflict,2021,0.0,Vale
248,Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",%,Percentage of active workforce employed under collective agreement,2021,92.0,Vale
