category,indicator,sasb_indicator_name,sub_category,units,user_units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Total gross global scope 1 emissions (CO2),Tonnes,Kilotonnes,,,"1,133","1,123","1,192","1,299",1300,,
GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Total percentage of gross global scope 1 emissions under emissions-limiting regulations,%,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total CO emissions,Tonnes,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total NOx emissions,Tonnes,Tonnes,,,4862,5118,4968,4594,3734,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total SOx emissions,Tonnes,Tonnes,,,143,134,174,353,2,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total PM10 emissions,Tonnes,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total mercury (Hg) emissions,Tonnes,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total lead (Pb) emissions,Tonnes,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total volatile organic compounds (VOCs) emissions,Tonnes,,,,,,,,,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Total energy consumed,Gigajoules (GJ),Petajoules,,,20.69,21,22.04,22.74,22.63,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Percentage energy consumed from grid electricity,%,%,,,,,86.34,85.4,86.12,,
