category,indicator,sasb_indicator_name,sub_category,units,user_units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Total gross global scope 1 emissions (CO2),Tonnes,Tonnes,"21,900","21,287","17,494","19,016","94,025","81,015","88,902",,
GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Total percentage of gross global scope 1 emissions under emissions-limiting regulations,%,%,0,0,0,0,0,0,0,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total CO emissions,Tonnes,ug/m3,,,,,,,876.4,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total NOx emissions,Tonnes,ug/m3,9.03,8.02,4,4,24.88,30.14,27.87,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total SOx emissions,Tonnes,ug/m3,13.72,13.72,13.72,3,3.74,3.86,5.9,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total PM10 emissions,Tonnes,ug/m3,25.25,30.33,32.44,20.74,38.69,53.14,61.52,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total mercury (Hg) emissions,Tonnes,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total lead (Pb) emissions,Tonnes,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total volatile organic compounds (VOCs) emissions,Tonnes,ug/m3,0.02,0.02,0.02,0.02,0.02,0.12,0.57,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Total energy consumed,Gigajoules (GJ),Gigajoules (GJ),"663,566","663,199","612,501","561,889","1,815,846","1,713,121","1,813,244",,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Percentage energy consumed from grid electricity,%,%,59,61,65,65,33,36,34,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Percentage energy consumed from renewable electricity,%,%,4,8,7,7,7,14,15,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water withdrawn,Cubic meters (m³),Thousand cubic meters,"1,405","1,244","1,337","1,030","2,123","2,180","2,068",,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water consumed,Cubic meters (m³),Thousand cubic meters,"1,351",899,"1,087",836,"2,039","1,871","1,678",,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water withdrawn in high or extremely high baseline water stress areas,Cubic meters (m³),,,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Total water consumed in high or extremely high baseline water stress areas,Cubic meters (m³),,,,,,,,,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,%,%,0,0,0,0,0,0,0,,
Water Management,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,%,%,0,0,0,0,0,0,0,,
Water Management,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations","Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Count,,,,,,,,,,
Waste Management,EM-MM-150a.4,Total weight of non-mineral waste generated,Total weight of non-mineral waste generated,Tonnes,,,,,,,,,,
Waste Management,EM-MM-150a.5,Total weight of tailings produced,Total weight of tailings produced,Tonnes,Tonnes,"1,511,195","1,485,985","1,509,124","1,357,774","1,998,180","2,026,354","2,280,381",,
Waste Management,EM-MM-150a.6,Total weight of waste rock generated,Total weight of waste rock generated,Tonnes,Tonnes,"244,780","247,357","141,820","63,476","4,772,475","7,066,325","8,270,314",,
Waste Management,EM-MM-150a.7,Total weight of hazardous waste generated,Total weight of hazardous waste generated,Tonnes,Tonnes,330,345,308,261,806,675,944,,
Waste Management,EM-MM-150a.8,Total weight of hazardous waste recycled,Total weight of hazardous waste recycled,Tonnes,,,,,,,,,,
Waste Management,EM-MM-150a.9,Number of significant incidents associated with hazardous materials and waste management,Number of significant incidents associated with hazardous materials and waste management,Count,Count,0,0,0,0,0,0,0,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is predicted to occur,%,%,,,,,,,20,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is actively mitigated,%,%,,,,,,,20,,
Biodiversity Impacts,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation",Percentage of total mine sites where acid rock drainage is under treatment or remediation,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of proved reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,,
Biodiversity Impacts,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,Percentage of total area of probable reserves in or near sites with protected conservation status or endangered species habitat,%,,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near areas of conflict,%,,,,,,,,,,
Human Rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near areas of conflict,%,,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of proved reserves in or near indigenous land,%,,,,,,,,,,
Human Rights,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,Percentage of total area of probable reserves in or near indigenous land,%,,,,,,,,,,
Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Number of non-technical delays,Count,Count,0,0,0,0,17,6,0,,
Community Relations,EM-MM-210b.2,(1) Number and (2) duration of nontechnical delays,Duration of non-technical delays,Days,Days,0,0,0,0,8.83,1.99,0,,
Labour Practices,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Percentage of active workforce employed under collective agreement,%,,,,,,,,,,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Number of strikes and lockouts,Count,Count,,,,,,0,0,,
Labour Practices,EM-MM-310a.2,Number and duration of strikes and lockouts,Duration of strikes and lockouts,Days,Days,,,,,,0,0,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total number of MSHA incidents,Count,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total MSHA all-incidents rate,Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Number of Fatalities,Count,,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total fatality rate,Rate (per million hours worked),,,,,,,,,,
Workforce Health and Safety,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Total near-miss frequency rate (NMFR),Rate (per million hours worked),,,,,,,,,,
