category,indicator,sasb_indicator_name,sub_category,units,user_units,2017,2018,2019,2020,2021,2022,2023,2024,Remarks
GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Total gross global scope 1 emissions (CO2),Tonnes,tonnes CO2e,,,"1,100,115","1,080,808","1,121,586","1,038,800","1,017,651",,
GHG emissions,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Total percentage of gross global scope 1 emissions under emissions-limiting regulations,%,,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total CO emissions,Tonnes,tonnes CO2e,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total NOx emissions,Tonnes,tonnes,,,"2,413","2,377","2,473","2,162","2,089",,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total SOx emissions,Tonnes,tonnes,,,"1,237","1,129","1,076","1,419","1,457",,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total PM10 emissions,Tonnes,tonnes,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total mercury (Hg) emissions,Tonnes,tonnes,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total lead (Pb) emissions,Tonnes,tonnes,,,,,,,,,
Air Quality,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Total volatile organic compounds (VOCs) emissions,Tonnes,tonnes,,,,,,,,,
Energy Management,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Total energy consumed,Gigajoules (GJ),GJ,,,,"18,650,172","17,959,840","15,998,427","15,624,254",,
